file_size,download_speed_limit,concurrent_downloads,access_network,time_of_day,time_taken_1,time_taken_2,throughput_1,throughput_2,avg_throughput
1MB,10m,2,IIT Mandi-Wifi,7 to 10 pm,.834487354,.822794670,2454.20136109096747318713,2489.07786434737113695692,2471.63961271916930507202
1MB,10m,5,IIT Mandi-Wifi,7 to 10 pm,1.094355384,1.254291587,4678.55330622652650101093,4081.98544346929435316383,4380.26937484791042708738
10MB,0,1,IIT Mandi-Wifi,7 to 10 pm,3.776193588,3.623305323,2711.72538201979490252765,2826.14880258601932895954,2768.93709230290711574359
10MB,0,2,IIT Mandi-Wifi,7 to 10 pm,2.651775628,3.986147383,7723.12701864835149619981,5137.79296955814541190535,6430.45999410324845405258
10MB,0,5,IIT Mandi-Wifi,7 to 10 pm,6.128901554,2.386160323,8353.86235998268736427480,21457.06619395498179189194,14905.46427696883457808337
10MB,5m,1,IIT Mandi-Wifi,7 to 10 pm,2.799885073,2.826971235,3657.29297203907054795030,3622.25121827247739929691,3639.77209515577397362360
10MB,5m,2,IIT Mandi-Wifi,7 to 10 pm,3.269942561,2.726518370,6263.10695614692786648003,7511.41097208158549835847,6887.25896411425668241925
10MB,5m,5,IIT Mandi-Wifi,7 to 10 pm,5.334465805,5.433279458,9597.96198374918629738971,9423.40632315769243467468,9510.68415345343936603219
10MB,10m,1,IIT Mandi-Wifi,7 to 10 pm,2.966680972,1.784449455,3451.66874923415256933801,5738.46458430507912593130,4595.06666676961584763465
10MB,10m,2,IIT Mandi-Wifi,7 to 10 pm,.424370164,2.433920524,48259.75466079184586595960,8414.40786502854601837442,28337.08126291019594216701
10MB,10m,5,IIT Mandi-Wifi,7 to 10 pm,5.149941784,5.378005935,9941.85995637266411476002,9520.25725125942985780658,9731.05860381604698628330
100MB,0,1,IIT Mandi-Wifi,7 to 10 pm,10.035199480,16.496295136,10204.08216140412985592190,6207.45441056832459426239,8205.76828598622722509214
100MB,0,2,IIT Mandi-Wifi,7 to 10 pm,18.133518348,16.108257527,11294.00241418610331780275,12713.97602482594081511917,12003.98921950602206646096
100MB,0,5,IIT Mandi-Wifi,7 to 10 pm,48.171688863,49.218409392,10628.64956751101234480295,10402.61167162425393968530,10515.63061956763314224412
100MB,5m,1,IIT Mandi-Wifi,7 to 10 pm,15.432817231,20.546538211,6635.21108733850980185952,4983.80792659164904029876,5809.50950696507942107914
100MB,5m,2,IIT Mandi-Wifi,7 to 10 pm,26.566744195,20.836069235,7708.88591002221602864347,9829.10920913917763721617,8768.99755958069683292982
100MB,5m,5,IIT Mandi-Wifi,7 to 10 pm,43.984570224,44.840956723,11640.44566975510207272361,11418.13282804875893637832,11529.28924890193050455096
100MB,10m,1,IIT Mandi-Wifi,7 to 10 pm,11.185808910,11.289630351,9154.45640309977367564381,9070.27040003393287362735,9112.36340156685327463558
100MB,10m,2,IIT Mandi-Wifi,7 to 10 pm,24.378764862,20.552530292,8400.75373626613225094570,9964.70979924635743726264,9182.73176775624484410417
100MB,10m,5,IIT Mandi-Wifi,7 to 10 pm,45.294333797,130.799133403,11303.84216036116037280326,3914.39902298509267440639,7609.12059167312652360482
500MB,0,1,IIT Mandi-Wifi,7 to 10 pm,58.740492437,43.118655591,8716.30418401968903466787,11874.21066316520072505430,10295.25742359244487986108
500MB,0,2,IIT Mandi-Wifi,7 to 10 pm,81.894474769,99.611451786,12503.89605511727120458479,10279.94253311263550385857,11391.91929411495335422168
500MB,0,5,IIT Mandi-Wifi,7 to 10 pm,220.606219229,233.968252515,11604.38726046338393277065,10941.65542752803681596536,11273.02134399571037436800
500MB,5m,1,IIT Mandi-Wifi,7 to 10 pm,94.397947715,93.384113316,5423.84672965344880114589,5482.73128928747133449946,5453.28900947046006782267
500MB,5m,2,IIT Mandi-Wifi,7 to 10 pm,111.926705088,150.052708245,9148.84431910062661023698,6824.26869848996106668037,7986.55650879529383845867
1B,0,1,Mobile Data,7 to 10 pm,.099538612,.129830178,.00981089127503606339,.00752184519072291497,.00866636823287948918
1B,0,2,Mobile Data,7 to 10 pm,.097661726,.083931319,.01999887857808288172,.02327051478840693543,.02163469668324490857
1B,0,5,Mobile Data,7 to 10 pm,.114865140,.105177807,.04250908935469891039,.04642436117725862072,.04446672526597876555
1B,5m,1,Mobile Data,7 to 10 pm,.080738458,.077588604,.01209538210402779800,.01258641668562563646,.01234089939482671723
1B,5m,2,Mobile Data,7 to 10 pm,.083240404,.078664145,.02346366555356939401,.02482865605416546509,.02414616080386742955
1B,5m,5,Mobile Data,7 to 10 pm,.103358283,.098449614,.04724161778113129065,.04959707104590577673,.04841934441351853369
1B,10m,1,Mobile Data,7 to 10 pm,.079389632,.077233372,.01230088205976316907,.01264430743746369121,.01247259474861343014
1B,10m,2,Mobile Data,7 to 10 pm,.082259869,.091162396,.02374335169437237980,.02142467821929559639,.02258401495683398809
1B,10m,5,Mobile Data,7 to 10 pm,.103549446,.108717722,.04715440486277444690,.04491275580627048090,.04603358033452246390
1kB,0,1,Mobile Data,7 to 10 pm,.089626060,.079146847,11.15746915573439243005,12.63474210160260711333,11.89610562866849977169
1kB,0,2,Mobile Data,7 to 10 pm,.097924524,.087238224,20.42389299742728389468,22.92573035416218468638,21.67481167579473429053
1kB,0,5,Mobile Data,7 to 10 pm,.105675984,.108429412,47.31443995827850536030,46.11294950119253620964,46.71369472973552078497
1kB,5m,1,Mobile Data,7 to 10 pm,.081925608,.084104457,12.20619565008293865820,11.88997629459756217200,12.04808597234025041510
1kB,5m,2,Mobile Data,7 to 10 pm,.081600025,.091991587,24.50979641243982462015,21.74111856554882567685,23.12545748899432514850
1kB,5m,5,Mobile Data,7 to 10 pm,.115421858,.123545907,43.31935117523407048255,40.47078629646549116353,41.89506873584978082304
1kB,10m,1,Mobile Data,7 to 10 pm,.090104942,.081976221,11.09817039780126599493,12.19865941368534175294,11.64841490574330387393
1kB,10m,2,Mobile Data,7 to 10 pm,.080856269,.085440024,24.73524965639955511674,23.40823312502814840033,24.07174139071385175853
1kB,10m,5,Mobile Data,7 to 10 pm,1.355197271,.120038968,3.68949975549353065366,41.65314050350716110788,22.67132012950034588077
10kB,0,1,Mobile Data,7 to 10 pm,.080820732,.083302939,123.73062891833248924298,120.04378380935635416176,121.88720636384442170237
10kB,0,2,Mobile Data,7 to 10 pm,.084671852,.086911655,236.20600621798139008462,230.11873378777564412966,233.16237000287851710714
10kB,0,5,Mobile Data,7 to 10 pm,.109316822,.106354232,457.38614684572517119094,470.12703735193160907785,463.75659209882839013439
10kB,5m,1,Mobile Data,7 to 10 pm,.082211815,.079959614,121.63701774495551521396,125.06313499712492358955,123.35007637104021940175
10kB,5m,2,Mobile Data,7 to 10 pm,.087531906,.090774245,228.48811266602603169637,220.32681186166847215308,224.40746226384725192472
10kB,5m,5,Mobile Data,7 to 10 pm,.110210430,.103303609,453.67756935527789883407,484.01019561668944208909,468.84388248598367046158
10kB,10m,1,Mobile Data,7 to 10 pm,.081750259,.078809480,122.32377147575764866995,126.88828805874623205228,124.60602976725194036111
10kB,10m,2,Mobile Data,7 to 10 pm,.087210848,.097265194,229.32926876252825795249,205.62340111098734867068,217.47633493675780331158
10kB,10m,5,Mobile Data,7 to 10 pm,.108603029,.136438795,460.39231557712814805561,366.46468476946018176135,413.42850017329416490848
100kB,0,1,Mobile Data,7 to 10 pm,.098653540,.099567605,1013.64836984055513872082,1004.34272773760099984327,1008.99554878907806928204
100kB,0,2,Mobile Data,7 to 10 pm,.122427706,.119889466,1633.61714871958803181364,1668.20327650804616979443,1650.91021261381710080403
100kB,0,5,Mobile Data,7 to 10 pm,.191783947,.155301666,2607.10037425603718542720,3219.54047807832273995051,2913.32042616717996268885
100kB,5m,1,Mobile Data,7 to 10 pm,.091289433,.105603474,1095.41703474048305240322,946.93854484370466827634,1021.17778979209386033978
100kB,5m,2,Mobile Data,7 to 10 pm,.106332245,.116302063,1880.89699413381143227061,1719.65995134583296256748,1800.27847273982219741904
100kB,5m,5,Mobile Data,7 to 10 pm,.134293756,.152167497,3723.18129221138174138192,3285.85282571875385451073,3504.51705896506779794632
100kB,10m,1,Mobile Data,7 to 10 pm,.104934973,.096792504,952.97113194092116457684,1033.13785538599146066104,993.05449366345631261894
100kB,10m,2,Mobile Data,7 to 10 pm,.110595744,.103520778,1808.38785261031382907465,1931.97929791447278342517,1870.18357526239330624991
100kB,10m,5,Mobile Data,7 to 10 pm,.135490524,.146235780,3690.29497590547365511701,3419.13586401358135471360,3554.71541995952750491530
500kB,0,1,Mobile Data,7 to 10 pm,.139172515,.227013694,3592.66339334314681314769,2202.51030318902259702447,2897.58684826608470508608
500kB,0,2,Mobile Data,7 to 10 pm,.168088071,.174852992,5949.26215793148105078795,5719.09001133935414728276,5834.17608463541759903535
500kB,0,5,Mobile Data,7 to 10 pm,.231281029,.234680997,10809.36041667299915031076,10652.75856144415476469106,10731.05948905857695750091
500kB,5m,1,Mobile Data,7 to 10 pm,.132134990,.136034318,3784.00906527483749762269,3675.54310817363012765646,3729.77608672423381263957
500kB,5m,2,Mobile Data,7 to 10 pm,.140700157,.162821101,7107.31260946638460396316,6141.71009689954129471216,6624.51135318296294933766
500kB,5m,5,Mobile Data,7 to 10 pm,.209717355,.207729078,11920.80645876923252250630,12034.90635047251304894348,11977.85640462087278572489
500kB,10m,1,Mobile Data,7 to 10 pm,.138105213,.131147793,3620.42814415702034361295,3812.49267381876567301441,3716.46040898789300831368
500kB,10m,2,Mobile Data,7 to 10 pm,.181659238,.162186283,5504.81225733204936156343,6165.74954122353244879531,5835.28089927779090517937
500kB,10m,5,Mobile Data,7 to 10 pm,.224742492,.208617243,11123.84212594741540909851,11983.66905845841323864106,11553.75559220291432386978
1MB,0,1,Mobile Data,7 to 10 pm,.171689943,.163626906,5964.23985067081069506791,6258.13947737910536547088,6111.18966402495803026939
1MB,0,2,Mobile Data,7 to 10 pm,.205777459,.202580129,9952.49921907141442542547,10109.57989862865572565609,10031.03955885003507554078
1MB,0,5,Mobile Data,7 to 10 pm,.323405487,.342969155,15831.51865323793965190207,14928.45617559981450810058,15379.98741441887708000132
1MB,5m,1,Mobile Data,7 to 10 pm,.163179259,.164185204,6275.30732934631110195199,6236.85919956587561934021,6256.08326445609336064610
1MB,5m,2,Mobile Data,7 to 10 pm,.200273007,.199335821,10226.04109599253183430755,10274.11927131752200222959,10250.08018365502691826857
1MB,5m,5,Mobile Data,7 to 10 pm,.299788820,.343261752,17078.68892509066882480807,14915.73112986966284551271,15997.21002748016583516039
1MB,10m,1,Mobile Data,7 to 10 pm,.171510063,.174643603,5970.49515397822458965571,5863.36964200171706260549,5916.93239798997082613060
1MB,10m,2,Mobile Data,7 to 10 pm,.217762257,.202173110,9404.75189876453200060284,10129.93270964669831710062,9767.34230420561515885173
1MB,10m,5,Mobile Data,7 to 10 pm,.313560995,.313559051,16328.56152915320350989446,16328.66276279168863794016,16328.61214597244607391731
10MB,0,1,Mobile Data,7 to 10 pm,.662840652,.639833827,15448.66020076270156103823,16004.15540393115226775904,15726.40780234692691439863
10MB,0,2,Mobile Data,7 to 10 pm,.955348940,.915556663,21437.19340914326026258007,22368.90498168981158952037,21903.04919541653592605022
10MB,0,5,Mobile Data,7 to 10 pm,1.769593505,1.790589041,28933.19841835653663297097,28593.94245561005865666972,28763.57043698329764482034
10MB,5m,1,Mobile Data,7 to 10 pm,1.984865922,1.945269669,5159.03864664164454328316,5264.05164445094733032615,5211.54514554629593680465
10MB,5m,2,Mobile Data,7 to 10 pm,2.023320118,2.033704057,10121.97714924317279980705,10070.29509997186380201040,10096.13612460751830090872
10MB,5m,5,Mobile Data,7 to 10 pm,1.999157203,2.025456095,25610.79234947988229818062,25278.25714237464130270372,25444.52474592726180044217
10MB,10m,1,Mobile Data,7 to 10 pm,-1.421823899,1.005415133,0,10184.84769514604073499657,5092.42384757302036749828
10MB,10m,2,Mobile Data,7 to 10 pm,.985802945,1.107827354,20774.94300851373496353269,18486.63505739721967544051,19630.78903295547731948660
10MB,10m,5,Mobile Data,7 to 10 pm,1.790268373,1.744935673,28599.06412478415603446511,29342.05586614768004688502,28970.55999546591804067506
100MB,0,1,Mobile Data,7 to 10 pm,5.736313617,5.563471174,17851.18576789976091016085,18405.77524308028346045673,18128.48050549002218530879
100MB,0,2,Mobile Data,7 to 10 pm,7.884583583,5.795050480,25974.73891221986174485329,35340.50319437424469165279,30657.62105329705321825304
100MB,0,5,Mobile Data,7 to 10 pm,16.747467606,17.003225761,30571.78625719922470289207,30111.93329999566309940028,30341.85977859744390114617
100MB,5m,1,Mobile Data,7 to 10 pm,20.029554305,17.569179715,5112.44526167203699044066,5828.38821510683146882478,5470.41673838943422963272
100MB,5m,2,Mobile Data,7 to 10 pm,17.765585454,20.062131313,11527.90604791965219521214,10208.28728537392561527792,10868.09666664678890524503
100MB,5m,5,Mobile Data,7 to 10 pm,17.719702590,20.092952452,28894.39015127397801319418,25481.57127346592896819741,27187.98071236995349069579
100MB,10m,1,Mobile Data,7 to 10 pm,7.623055941,10.127409450,13432.93303795000971251563,10111.17408707120062179375,11772.05356251060516715469
100MB,10m,2,Mobile Data,7 to 10 pm,10.075380351,7.761166315,20326.77604867524668200985,26387.78653720938848351428,23357.28129294231758276206
100MB,10m,5,Mobile Data,7 to 10 pm,17.692854807,15.221254031,28938.23555243511923994053,33637.17594866017908849917,31287.70575054764916421985
500MB,0,1,Mobile Data,7 to 10 pm,27.571934883,31.651144870,18569.60718109353007643253,16176.35008474181616546371,17372.97863291767312094812
500MB,0,2,Mobile Data,7 to 10 pm,41.415172119,39.918943844,24725.23830295082782582314,25651.98127489818064536266,25188.60978892450423559290
500MB,0,5,Mobile Data,7 to 10 pm,79.561156147,83.741372651,32176.50577211388999299178,30570.31332253221295480481,31373.40954732305147389829
500MB,5m,1,Mobile Data,7 to 10 pm,93.593349660,93.041175125,5470.47415078059724612275,5502.93995440333277927308,5486.70705259196501269791
500MB,5m,2,Mobile Data,7 to 10 pm,93.095432482,92.155117087,10999.46552370322120182059,11111.69984227009460280433,11055.58268298665790231246
500MB,5m,5,Mobile Data,7 to 10 pm,92.711135659,93.183482844,27612.64848934558557093772,27472.67994141985517821326,27542.66421538272037457549
500MB,10m,1,Mobile Data,7 to 10 pm,45.281606013,47.702432719,11307.01945185002376298114,10733.20522280342949400010,11020.11233732672662849062
500MB,10m,2,Mobile Data,7 to 10 pm,45.285281711,47.654212064,22612.20337625206299337710,21488.13201705569175938604,22050.16769665387737638157
500MB,10m,5,Mobile Data,7 to 10 pm,79.721406963,82.143297930,32111.82664134537396874817,31165.05015639320338644698,31638.43839886928867759757
1B,0,1,Mobile Data,11 am to 1 pm,.082583872,.075809525,.01182509945767619130,.01288179156906734345,.01235344551337176737
1B,0,2,Mobile Data,11 am to 1 pm,.080208182,.081928737,.02435069529440275806,.02383931537965732341,.02409500533703004073
1B,0,5,Mobile Data,11 am to 1 pm,.102098707,.099156169,.04782443033289344202,.04924365825388030068,.04853404429338687135
1B,5m,1,Mobile Data,11 am to 1 pm,.080973734,.074351844,.01206023795321085229,.01313434136213218867,.01259728965767152048
1B,5m,2,Mobile Data,11 am to 1 pm,.090380808,.083573028,.02160995285636304557,.02337027922453641382,.02249011604044972969
1B,5m,5,Mobile Data,11 am to 1 pm,.113125954,.098404030,.04316261942860610041,.04962004604892706121,.04639133273876658081
1B,10m,1,Mobile Data,11 am to 1 pm,.086181001,.084769886,.01133152885982375628,.01152015823166259772,.01142584354574317700
1B,10m,2,Mobile Data,11 am to 1 pm,.078531628,.086486180,.02487055279180001209,.02258308784131753766,.02372682031655877487
1B,10m,5,Mobile Data,11 am to 1 pm,.103536985,.101946687,.04716008004289481676,.04789574476314271988,.04752791240301876832
1kB,0,1,Mobile Data,11 am to 1 pm,.076326002,.071024662,13.10169501607067012366,14.07961645773125960106,13.59065573690096486236
1kB,0,2,Mobile Data,11 am to 1 pm,.087373027,.082871843,22.89035951564319729932,24.13364935060029979060,23.51200443312174854496
1kB,0,5,Mobile Data,11 am to 1 pm,.105951244,.099725658,47.19151763805623650818,50.13754835290231928076,48.66453299547927789447
1kB,5m,1,Mobile Data,11 am to 1 pm,.076295429,.075395738,13.10694510938525557016,13.26334918294718462733,13.18514714616622009874
1kB,5m,2,Mobile Data,11 am to 1 pm,.088820543,.080908192,22.51731336522002573211,24.71937575863764203258,23.61834456192883388234
1kB,5m,5,Mobile Data,11 am to 1 pm,.102024689,.094426573,49.00774556636972448894,52.95119626971954176500,50.97947091804463312697
1kB,10m,1,Mobile Data,11 am to 1 pm,.075368597,.074020829,13.26812545017920394617,13.50971089502388577679,13.38891817260154486148
1kB,10m,2,Mobile Data,11 am to 1 pm,.077123248,.074177288,25.93251777985284022270,26.96243087237160787005,26.44747432611222404637
1kB,10m,5,Mobile Data,11 am to 1 pm,.105726801,.117748242,47.29169853536001718239,42.46347898765231671144,44.87758876150616694691
10kB,0,1,Mobile Data,11 am to 1 pm,.083003633,.080405966,120.47665431704658035871,124.36888078678141868229,122.42276755191399952050
10kB,0,2,Mobile Data,11 am to 1 pm,.097463379,.084823545,205.20528023146006460539,235.78359051133738869319,220.49443537139872664929
10kB,0,5,Mobile Data,11 am to 1 pm,.105729178,.103328003,472.90635324905297192417,483.89592896709713822689,478.40114110807505507553
10kB,5m,1,Mobile Data,11 am to 1 pm,.076382684,.075124264,130.91972520892300668565,133.11278497184345127161,132.01625509038322897863
10kB,5m,2,Mobile Data,11 am to 1 pm,.089928600,.089009118,222.39865849129198052677,224.69608113631684340473,223.54736981380441196575
10kB,5m,5,Mobile Data,11 am to 1 pm,.097578632,.122567365,512.40726555789386348437,407.93893219455276696207,460.17309887622331522322
10kB,10m,1,Mobile Data,11 am to 1 pm,.078727553,.072952823,127.02033302114699284505,137.07488742416451793784,132.04761022265575539144
10kB,10m,2,Mobile Data,11 am to 1 pm,.077246863,.088596885,258.91019030766336750788,225.74157093672085649512,242.32588062219211200150
10kB,10m,5,Mobile Data,11 am to 1 pm,.105393019,.102559365,474.41472380632724829715,487.52251927456844140951,480.96862154044784485333
100kB,0,1,Mobile Data,11 am to 1 pm,.089789339,.091343803,1113.71796600485053130862,1094.76501651677454243940,1104.24149126081253687401
100kB,0,2,Mobile Data,11 am to 1 pm,.096451158,.092598772,2073.58837516497209914265,2159.85585640379766591289,2116.72211578438488252777
100kB,0,5,Mobile Data,11 am to 1 pm,.133819466,.145508427,3736.37718745641983057980,3436.22709906691521034723,3586.30214326166752046351
100kB,5m,1,Mobile Data,11 am to 1 pm,.089044586,.088486653,1123.03290398812118684003,1130.11393933048863312752,1126.57342165930490998377
100kB,5m,2,Mobile Data,11 am to 1 pm,.126683795,.111088392,1578.73388620857150671875,1800.36812487122866986858,1689.55100553990008829366
100kB,5m,5,Mobile Data,11 am to 1 pm,.131074547,.125626748,3814.62313960924846835442,3980.04412245073795908495,3897.33363102999321371968
100kB,10m,1,Mobile Data,11 am to 1 pm,.094248354,.086528673,1061.02648752889626061798,1155.68627754178086147235,1108.35638253533856104516
100kB,10m,2,Mobile Data,11 am to 1 pm,.104002964,.102676532,1923.02211694659009910525,1947.86477595484039137589,1935.44344645071524524057
100kB,10m,5,Mobile Data,11 am to 1 pm,.125505993,.127034949,3983.87350315614012153188,3935.92475091244378741790,3959.89912703429195447489
500kB,0,1,Mobile Data,11 am to 1 pm,.145656763,.148286047,3432.72766538138706267967,3371.86141323195431866897,3402.29453930667069067432
500kB,0,2,Mobile Data,11 am to 1 pm,.186424379,.191458298,5364.10530298722357551744,5223.06951668399350337899,5293.58740983560853944821
500kB,0,5,Mobile Data,11 am to 1 pm,.271443798,.224283382,9210.00965363739863380485,11146.61272585946648512728,10178.31118974843255946606
500kB,5m,1,Mobile Data,11 am to 1 pm,.136520144,.132018516,3662.46317466527137562937,3787.34752631214245735045,3724.90535048870691648991
500kB,5m,2,Mobile Data,11 am to 1 pm,.161487822,.149285243,6192.41740717761367789083,6698.58574031995915363181,6445.50157374878641576132
500kB,5m,5,Mobile Data,11 am to 1 pm,.228163610,.228509341,10957.04963644290165289723,10940.47179454252594426763,10948.76071549271379858243
500kB,10m,1,Mobile Data,11 am to 1 pm,.129504238,.128171877,3860.87751043328790521897,3901.01176407052227221420,3880.94463725190508871658
